hnit	infinitive
kyoc	លើសហេតុកម្ម
lyon	ដំបៅ
flis	ឆ្លុះ
nrif	nibble
kfam	កង់ទិច
swes	អាវយឺត
lwon	ការវិវត្ត
drec	វិភាគការប្រើប្រាស់
gjap	ស្ប៉ា
lyec	លីនេអ៊ែរ
tyom	Antimony
pwuk	ករណីsuperessive
flaf	អាល់ហ្វា
myim	ភាពស៊ាំ
pcek	ការចាប់ជម្រិត
bjac	រោងចក្រ
bzac	abridge
bzak	ស្រោមជើង
twes	ទូរទស្សន៍
dwut	ឯកសារ
ksom	cosmos
lyis	ព្រៃឈើ
lwim	អាលុយមីញ៉ូម
ksok	horoscope
sruc	ពន្លឿនការ
dlif	ត្រី​ដូ​ហ្វី​ន
byik	ឃាតករ
tfec	សម្ភារៈការិយាល័យ
hjaf	ថនិកសត្វ
ryok	ពិធីការ
dwis	ឌីអុកស៊ីត
jlon	ពោះវៀនធំ
brus	ការិយាធិបតេយ្យ
gjak	កាឡាក់ស៊ី
lyip	ព្យាបាល
ryem	រ៉ាដ្យូម
href	rarefied
prok	ទូទឹកកក
slep	undefined
dret	ការនិយាយឡើងវិញ
kluk	បុរាណវត្ថុ
dlis	idiosyncrasy
kfip	មិនអាចទទួលយកបាន
mlec	ម៉ាស្សា
pfif	ការបញ្ជាក់លម្អិត
nrec	ញ្ញា
pfet	ខិត្តប័ណ្ណ
hzoc	ដើមចម
dlam	តាមឧត្ដមគតិ
nlec	នរវិទ្យា
kluc	ហ៊ាន
dyet	រថយន្ត
tyif	ការផ្លាស់ប្តូរ
krus	ភ័យខ្លាច
nluc	ផ្កាឈូករ័ត្ន
lyun	អ៊ីយ៉ុង
zrot	ការធ្វើបត្យាប័ន
ksif	បន្លំ
psif	ការបំភាយ
crup	ត្រួតស៊ីគ្នា
fret	ឧបករណ៍រក
grut	ដាក់​​បញ្ច្រាស
ksec	មិត្ត​រួម​ថ្នាក់
jric	ផ្លូវ
mrop	មីក្រូ
srus	ទម្លាក់
gyas	សក់
floc	រឿងនិទាន
plek	capillary
nwop	បាត
nrom	ឧបករណ៍បញ្ជា
twos	អំពើភេរវកម្ម
lwok	ពាក្យស្លោក
dwet	ហួសពេល
slem	sublimate
grip	ដុត
gwas	វ៉ោ​វ
kwok	Cobalt
gwon	oat
hdop	ចលនាupriver
glam	រន្ធគូថ
bwot	bovine
bren	ពោះវៀន
byot	វីដេអូ
bjik	ធ្វើពហិការ
kwim	សំណួរ
cwek	ហុកគី
grif	ទ័ពព្រៃ
hgem	ម៉ាញ៉េស្យូម
hyes	ការយល់ដឹង
fram	ឱសថស្ថាន
nwos	undefined
ryap	រៀបចំ
cwim	ភាពអាចជឿជាក់បាន
klep	kelp
psec	សង
djic	នៅទូទាំងពិភពលោក
kfut	បម្រាមគោចរ
crep	ហាំបឺហ្គ័
frim	ទ្រឹស្តីបទ
gjas	ឆេះ
hdef	ឥណពន្ធ
ryum	អ៊ុយរ៉ាញ៉ូម
pluk	វាយតម្លៃ
krop	សំរបសំរួល
nraf	អ្នកជាប់ពន្ធ
tyes	រួមបញ្ចូលគ្នា
plip	opine
hgom	ហ្គាម៉ា
hgus	មេគុណ
cwuc	ម៉ាស៊ីន​កំ​ដៅ
zret	ដក
nles	អ្នកវិភាគ
trof	intransitive
hmof	ផ្សារ​ទំនើប
hzim	subsalicylateជាមួយនឹងថ្នាំ
dzac	diner
psok	កាតប៉ូស្ដាល់
blon	ចំណុច
djet	digress
ksum	ម្ចាស់ភាគហ៊ុន
mrup	មេរោគ
clif	Helix
cloc	morphological
tfes	អ្នកចាត់ចែងម្ហូបអាហារ
gjis	ខោ​ខូ​វ​ប៊​យ
jren	តម្រឹម
tlep	មូលដ្ឋានទិន្នន័យ
kcup	ប័ណ្ណ
glot	វ៉ុល
glut	ការគណនា
srep	ត
nwes	វិនិយោគិន
ksef	កាំរស្មីX
bzis	ទិដ្ឋាការ
frut	ហេដ្ឋារចនាសម្ព័ន្ធ
nyuk	Firefly
dyik	ឧបករណ៍ចាប់
plec	splices
brom	bromine
plop	ប៉ាឡាដ្យូម
zlik	ស៊ីលី
flut	វ៉ុល
ksop	កែសម្ផស្ស
gjun	កូនកំលោះ
kfok	ត្អើក
hpof	ពោត​លីង
hzuk	សួនសត្វ
nyoc	ន័យ
jwak	យូហ្គា
brim	ស្រដៀងនឹងបារីយ៉ូម
kles	កាត់ក្បាល
mwam	យាយ
fwik	កាំជ្រួច
djas	ចង្វាក់jazz
dyim	អូឌីយ៉ូ
tsum	ស្តែន
drip	dribble
lyaf	សោធនអាហារកិច្ច
prom	អ្នកសរសេរកម្មវិធី
nrup	ការបញ្ចូល
hfes	បត់បែន
rwaf	chrysanthemum
dlen	ឯកសារ
byas	វ៉ាក់សាំង
fron	ហេរ៉ូអ៊ីន
dluk	ផ្ដាច់
dyun	ការធ្វើរោគវិនិច្ឆ័យ
flap	ថត
kfet	កាតូត
dlim	មនោគមវិជ្ជា
prek	កន្លែងចតរថយន្ត
syoc	រូបថត
slus	មធ្យោបាយងាយស្រួល
nlos	anticlimax
mlen	សារជាតិselenium
pres	ស្រោម
hlof	ស្ពាន់ធ័រ
nlek	សញ្ញាសម្គាល់ពាក់ព័ន្ធបច្ចុប្បន្ន
gwot	ព្រ​លាន​យន្តហោះ
mwip	ក្លែងបន្លំ
klop	កន្លាត
kwom	ក្រូមីញ៉ូ
hl6t	លីត្រ
nwec	ផ្ទុយ
glip	រង្វិល
nrop	បញ្ជីបើកប្រាក់ខែ
crum	អរម៉ូន
dlep	អ្នកអភិវឌ្ឍ
frot	perforate
bwoc	ការបំផ្លិចបំផ្លាញដោយចេតនា
fwis	ស្ត្រីនិយម
djok	conjugate
draf	ធ្វើទំនើបកម្ម
trum	ជ្រុលនិយម
graf	ក្បួនដោះស្រាយ
lwes	ឡាស៊ែរ
mlem	មិល្លីម៉ែត្រ
flen	Flex
zlot	អាណូត
swok	snuggle
klec	undefined
pwim	ក្រៅ​ម៉ោង
htuf	ត្រីធូណា
fyis	រោងចក្រចម្រាញ់ប្រេង
lwet	ការប្រែលប្រួល
mrem	mainframe
jwic	rejuvenation
droc	បាតុករ
clem	អេលីយ៉ូម
dzik	ពីរភាសា
psem	ប្លាស្មា
hjom	ក្រូម៉ូសូម
rwuc	បូរណសំខ្យា
tyus	ចំនួនគត់
klom	គីឡូម៉ែត្រ
hfos	ទូរសារ
nwek	ហ្សែន
jrap	ទួណឺវីស
zwas	appetizer
bwok	ខាត់ណា
dwap	អាដាប់ធ័រ
syem	សារ​ឥត​បាន​ការ
blek	វ៉ិចទ័រ
tlus	យុទ្ធសាស្រ្ត
pyif	មិនបានបញ្ជាក់
cwoc	អី
mrep	អំពែ
hbem	វីតាមីន
hxan	ការdoorman
hxut	ឧបត្ថម្ភធន
hk6m	កាតមីញ៉ូម
hxin	ក្នុងពេលដំណាលគ្នា
txin	ទីតាញ៉ូម
kxin	undefined
klum	រួមសង្វាស
xlis	នាឡិកា
hqak	ជាវាក្យសម្ព័ន្ធ
hxat	គំនិតច្នៃប្រឌិត
hxik	សៀវភៅអេឡិចត្រូនិ
hxas	កន្លែងការងារ
bxon	boron
dxin	undefined
hxit	ឧទ្ធម្ភាគចក្រ
tlum	Tellurium
txit	ផុតកំណត់
kxat	អុកស៊ីតកម្ម
hvik	តម្រឹម
nluk	អាណាឡូក
nyem	សង់ទីម៉ែត្រ
hm6t	molybdenum
hl6m	លីចូម
ht6t	ពហុមេឌៀ
xlit	កាឡូរី
ryop	មនុស្សយន្ត
pxas	ឱសថការី
hxak	កិច្ចការ​ផ្ទះ
lwif	locative
grim	លោការីត
hqat	Mantis
qlit	បរិស្សានវិទ្យា
xlik	ស្មុគ្រស្មាញ
mlep	ពុម្ព
hqit	វិទ្យុសកម្ម
kxim	គីឡូក្រាម
hxen	អ្នកជួល
hxot	overeat
kyif	អ័
fwet	freeware
txet	សំណុំរង
hs6n	តគ្នា
hxet	លួចតាមដាន
xrat	កាត់សក់
hqan	impound
hr6t	Iridium
bxat	កម្រិតបញ្ជូន
dxet	ផ្ទៃតុ
hxis	អិចស្ប៉ូណង់ស្យែល
hxok	ទីស្នាក់ការ
hxek	ដាក់​​ខុសកន្លេង
srem	Cerium
hp6t	ភាគថាស
pxik	ករណីភាគថាស
kxet	កាសែត
pruk	ផ្សារទំនើប
hvit	ឃើញនូវថាមពល
xlin	ក្រៅបណ្តាញ
frip	ការអ៊ិនគ្រីប
hvep	បង់ប្រាក់យ៉ាងច្រើន
hxon	ធ្វើសមកាលកម្ម
kxit	ជាអតិបរមា
hqin	សិក្ខាសាលា
tr6n	ស្តេរ៉េអូ
ht6n	រុំ
hvat	នាពេលខាងមុខ
sl6s	អង្សារសេ
hn6n	អ៊ីយូតា
ts6t	ពេលវេលា​ពិតប្រាកដ
hvin	ការផ្សព្វផ្សាយ
pxat	Newsstand
myoc	ម៉ូឌុល
ps6s	pasta
bwek	ថង់យយ
dlok	នៅទំនេរ
fraf	ជញ្ជាំងភ្លើង
hr6k	វត្ថុបុរាណ
txat	អាហារ​ថ្ងៃត្រង់
hqon	ការoregano
pxun	ការplutonium
ks6n	ស្ថានីយការងារ
slef	ជណ្តើរយន្ត
xrit	អ្នកយាម
hvut	ភាពចង្អៀតណែន
xrim	yttrium
hx6t	ស្ទាប
hqum	ឈ្មោះ​អ្នកប្រើប្រាស់
hl6n	អ្នកលក់
gron	Argon
pxan	ផ្សព្វផ្សាយ
hvac	ម៉ា​សុ​ី​ន​លោង​ចាន
xlan	សកលភាវូបនីយកម្ម
txon	រលក
xrik	កែច្នៃឡើងវិញ
hxap	កាបូបស្ពាយ
hxac	ចាប់ផ្ដើមឡើងវិញ
xyat	ជំងឺរលាកថ្លើមប្រភេទ
cwep	ប្រាក់ខែ
hxos	ថូរ៉ាស់
txif	លក្ខណៈអក្សរ
qlat	អចលនទ្រព្យ
txot	ពាក់កណ្តាលរដូវស្លឹកឈើជ្រុះ
hxam	មីលីក្រាម
pxis	ភីកសែល
pwif	មើលជាមុន
txam	សារធាតុចំនួនម៉ាស់អាតូម
myek	ទែរម៉ូឌីណាមិច
hbop	បំបែកក្នុង
hqot	ដំណោះស្រាយ
xlic	រទេះរុញ
gxit	អំពើប្រល័យពូជសាសន៍
hvan	ពន្លត់អគ្គិភ័យ
glim	ការgallium
pfop	ផុស​ឡើង
hzum	zirconium
xlon	ទូរស័ព្ទទំនាក់ទំនង
qlin	ត្រង់
kxam	Scandium
blim	beryllium
kxik	កំណត់រចនាសម្ព័ន្ធ
nr6n	ណឺរ៉ូន
hpef	predicate
hruf	រ៉ោតទ័រ
kxan	ហ្វាក់តូរីយ្យែល
hxic	គោលការណ៍ណែនាំ
xlip	បាល់ទះ
dyek	បំបាត់កំហុស
hxop	នាឡិកាដៃ
qrot	នឺត្រុង
nwip	niobium
hs6t	បន្ទប់ទឹក
grem	Germanium
tles	metalloid
hp6k	ករណីprolative
qyin	ជីវចំរុះ
txak	ថ្នាំសំលាប់មេរោគ
mlun	immobile
txan	actinium
xran	អវកាស
dres	ពន្លា
tr6t	extraterrestrial
hk6t	octet
hxus	ប្រភព​បើក​ចំហ
xlat	crackpot
mraf	រត់ម៉ារ៉ាត​​ុង
ts6n	និទាឃរដូវពាក់កណ្តាល
ht6s	ជំងឺautism
nlif	បង្កើតអ៊ីយ៉ូដ
txut	គួរឱ្យកត់សម្គាល់
hm6n	បញ្ចេញ
kxis	គំនូរ​រូបភាព
xrin	ការទទួល
xren	បង្វែរ
bxak	ចំណាំ
pfos	ឃ្លាដែលគាំទ្រ
hvis	លាមក
hd6n	ភាគបែង
brum	ខ្វែងគំនិតគ្នា
hqis	chauvinist
hk6n	ចងក្រង
xyit	គន្លឹះក្នុងការផ្លាស់ប្តូរ
xyin	មួយ​វិនាទី
hxun	ការរស់នៅពឹងផ្អែក
hvas	តួនាទី
glok	កំណត់ហេតុបណ្ដាញ
hvak	meandering
pxit	អាសយដ្ឋានip
hvet	នៅ​ក្បែរ
xram	safflower
hc6n	ជាក់ស្តែង
qran	គម្ពីរកូរ៉ាន
zyen	xenon
hqas	ស្បថក្នុង
bzas	blase
hj6n	មិនមែនមនុស្ស
hnof	nonremittal
txas	ក្រុមហ៊ុនផលិត
hbum	ព្រះពុទ្ធសាសនា
ts6s	រឿងទាស់ទែងគ្នា
pxin	គ្រឿងផ្សំ
hr6n	របប
hxim	ពាក់កណ្តាលរដូវក្តៅ
dxit	រដូវរងារពាក់កណ្តាល
hxaf	ចិក
nlus	ការhouseplant
txap	របារស្ថានភាព
vrit	ghostwriter
kxak	បន្លំ​ភ្នែក​នៅ​ជុំវិញ
bxin	រាងកាយ​មនុស្ស
hqik	raincoat
hxes	Hertz
hxif	hypnothize
xras	ម៉ោង
pl6k	ជំនួយមេធាវី
dxat	កន្ទួល
hxip	អង្គបដិបក្ខ
vrat	ខ្លី
hqek	reshaping
qrit	បន្ទាត់រាងប៉ូល
pxot	ការិយាល័យ​ប្រៃសណីយ៍
hxom	សារ​ឥតប្រយោជន៍
hqic	ពិនិត្យ
lwun	ខូវប៊យ
hp6n	ពេលកាលកំណត់
dxan	ការភ្ជាប់
xrak	តួនាទីតារាសម្តែង
dxak	គ្រោះថ្នាក់ចរាចរណ៍
hven	ធុង
mwap	បន្ទះកំប្លែង
qlan	ប៍នពិការភ្នែក
xros	undressing
srom	បន្ទប់តាំងបង្ហាញ
hc6t	ការជជែកកំសាន្ត
qrat	ទ្រ​លប់​ចុះក្រោម
hn6t	រារាំង
hqet	តំបន់បណ្តាញ
fres	រៃអង្គាសថវិកា
froc	forging
xlak	តំណខ្ពស់
vlat	volubility
dvan	disembarking
gxin	ដណ្តើមយក
ryes	អ្នកទទួលភ្ញៀវ
kxot	ឧបករណ៍ភ្ជាប់
xyan	ការកំណត់
vlan	ផ្សាយពាណិជ្ជកម្ម
ryom	អាតូមthorium
hluf	មាន​អាយុ​ចាស់
hquk	ចាក់
lyum	thuliumអាតូម
tyem	អាតូមTerbium
hp6m	praseodymium
txic	ទំព័រដើម
mros	អ្នកបើកបរម៉ូតូ
dyam	អាតូមរ៉ូដឌៀ
pc6n	ចំនួនការជំនុំជម្រះក្តី
nyos	ក្នុងប្រអប់
pyek	ការបញ្ចាំង
kxon	krypton
hxuc	សង្គ្រោះ
qrik	ករណីចំណុចកណ្ដាល
xwin	ខ្វះបទពិសោធន៍
kxic	ប្រដាប់ពន្លត់អគ្គិភ័យ
hvot	គំនូសតាងលំហូរ
dxot	ទឹកដោះគោយ៉ាអួ
hqut	ចាកចេញ
pxen	អង្គភាព
drok	គន្លឹះគោលដៅ
flon	ទូរស័ព្ទចល័ត
txos	សំឡេងកណ្តាល
hqok	ករណីមួយoblique
xwik	ករណីអ្នកជំងឺ
hx6n	prehodiernal
txik	ម្រាម​ដៃ​ចង្អុល
hqen	អ្នកផ្ញើ
mlap	មេរោគ
hvun	suasion
hvon	ពាក់ចេញ
vran	ក្រុមហ៊ុនអាកាសចរណ៍សំបុត្រ
pfes	សាស្រ្តាចារ្យ
pwip	កំណាព្យ
hqam	ធ្វើការ
gxat	ភាពស្របច្បាប់
ks6t	មូលហេតុ
vrin	ជ្រើសរើស
kxip	ក្រុមប្រឹក្សាភិបាលឈុត
sr6n	ខកចិត្ត
vlit	យ
tyup	ជាយក្រុង
mrom	morpheme
xron	កាស
gxak	ថ្លៃ
hrof	សេះTrojan
xlas	ពិការ
dzet	redecorate
txac	ការចុះចាញ់
xrot	ដែលមិនបានប្រើ
txis	ម៉ាទ្រីសចំណុច
syif	គ្រឿងស៊ី
xrac	គួរ​ឱ្យ​ភ្ញាក់ផ្អើល
brif	តម្លៃគោលពីរ
dlos	ករណីម៉ូត
txun	គុណលក្ខណៈ
dvat	អាក្រក់រឹងមាំ
psom	ដៃជាលើកដំបូង
gjek	ផ្សេងទៀតប្រសិនបើ
nlem	ឯកតានៃម៉ាស់
qret	ហាងលក់រាយ
txip	ចំណុចបីដង
dlek	បុគ្គល
lwut	បច្ចុប្បន្នលំហូរ
dxis	យ៉ាងខ្លាំង
hs6m	Cesium
vlak	railcar
hn6m	netium
kxap	រកដាសរឹង
bxan	ការចាកចេញ
myem	ខែឧសភា
gxik	សិទ្ធិស៊ីវិល
hxoc	ទ័ព​ជើងអាកាស
xrok	អ្នករួមការងារ
kr6t	រូបថតអេក្រង់
txok	ដោយស្វ័យប្រវត្តិ
hxep	skateboard
srop	ស្មាតហ្វូន
pxak	សោ​រ​អក្សរ​ធំ
hk6k	តន្ត្រីស្រុកស្រែ
hl6k	អយល័រចំនួន
pyom	អាតូមប៉ូឡូញ៉ូម
xyam	អាតូមthallium
hvic	ការឈ្លានពាន
lyok	ករណីlocative
xlot	ផ្ទះល្វែង
txen	restatement
kxac	counterattack
qrak	strikebreaker
hbup	អាងហែលទឹក
txuk	សៀគ្វីខ្លី
tsef	ពន្លឿន
bxit	ម៉ាស៊ីនបណ្តាញ
ksem	អាច​បាន​តែ​អាន
byim	អាតូមrubidium
hvam	vanadiumអាតូម
lw6n	lanthanum
frum	អាតូមfluorine
nyom	neodymium
mlom	ចំនួនmultal
kxas	បដិរូបកម្ម
xret	តេរ៉ាបៃ
hs6k	ម៉ាស៊ីន​ស្វែងរក
frus	បំផ្លាញ
gxan	យែនឌ័រកាឡាក់ស៊ី
vlas	សំលេង
glet	ឈ្នាន់ឧស្ម័ន
hvim	ពេលរត់
bxip	រូបភាព
qrin	យែនឌ័រតារា
bvak	ករណីabessive
pxon	មិនអាចប្រើបាន
dvik	ករណីadessive
dvek	ករណីភ្នាក់ងារ
hlef	គន្លឹះភ្នាក់ងារ
kwek	ទៅនឹងករណី
kxen	យែនឌ័រជារឿងធម្មតា
ht6m	សំណុំបែបបទដែលបានអំណះអំណាង
tsuf	លេខឆ្លង
hf6n	ផាកពិន័យ
tc6t	វត្ថុដោយផ្ទាល់
gvik	ករណីergative
gxon	បែងចែក
ksep	ទទួល
vyin	រោង​ភាព​យ​ន្ដ
pyos	សំលេងអកម្ម
hnef	កិរិយាស័ព្ទកំណត់
xwit	វត្ថុបឋម
hqim	អារម្មណ៍gnomic
jlak	ទូទៅ
vrik	ភាគល្អិតចុងក្រោយ
qyan	ឯកតាប្រឌិត
kxaf	ល្បឿននៃពន្លឺ
xyic	ការលួចបន្លំ
qyit	ចំណុចសំខាន់
hvek	ករណីevitative
bvik	ករណីsubessive
hzes	ករណីpossessed
prus	មេរោគកុំព្យូទ័រ
ples	ដំណើរការ
pxif	ការិយាល័យ​ប៉ូ​លី​ស
dvak	ករណីlative
brun	ទេសចរណ៍
tsi_k	ករណីantessive
tyum	អាតូមruthenium
vyak	ករណីadverbial
pxim	នាយករដ្ឋមន្ត្រី
syum	អាតូមstrontium
sy6n	គួរឱ្យសង្ស័យ
hy6n	ចលនាយេនឌ័រ
pxac	អំណរសប្បាយដោយយល់អារម្មណ៍
vlin	យែនឌ័ររថយន្ត
qwin	យែនឌ័ររ៉ែ
hr6s	ការបញ្ជូន
tf6n	&amp;‧;
xris	ចំណុចប្រទាក់អ្នកប្រើ
hw6n	ការស្បថ
xlen	នាមពាក្យសំដី
pyec	សៀវភៅបញ្ជី
vlim	សតិនិម្មិត
bres	កម្មវិធីវាយអត្ថបទ
hqip	ពពកកុំព្យូទ័រ
vlic	ម៉ាស៊ីននិម្មិត
pfam	spammer
dyap	ភាសាទីពីរ
txek	ឫសទីn
dxen	រុករករ៉ែទិន្នន័យ
byip	អ្នកជំនួញ
hs6c	ទំនុកចិត្ត​លើ​ខ្លួនឯង
txim	សំដៅ
hb6t	ការផ្លាស់ប្តូរនៃព្រឹត្តិការណ៍
hdem	ឈ្មោះដែន
dxon	ព្រឹត្តិការណ៍ផ្សេងគ្នា
lwaf	ដ្រាយពន្លឺflash
sl6t	crastinalតានតឹង
xyik	ថាសទន់
fyif	សំឡេងបត់បែន
bvin	យែនឌ័រសកលលោក
hm6p	motherboard
tfip	ការផ្លាស់ប្តូរកិរិយាស័ព្ទ
jlen	យែនឌ័រតំបន់
xrap	ឆ្នូត
tc6n	យែនឌ័រស្រាវជ្រាវ
sl6n	យែនឌ័រសិល្បៈ
xrek	គន្លឹះអ្នកជំងឺ
xwan	យែនឌ័រអរូបី
dxif	សន្និសីទវីដេអូ
dyip	សុន្ទរកថាដោយប្រយោល
zrek	ករណីexocentric
hvuk	រំលឹកអំពី
xwat	ល្អឥតខ្ចោះកន្លងមក
hr6m	rhenium
txaf	បង្កឱ្យមាន
hmef	កិរិយាស័ព្ទដែរ
tx6t	កម្មវិធីនិពន្ធអត្ថបទ
txes	នាមសមូហភាព
bvat	ការប្រព្រឹត្តមិនត្រឹមត្រូវទៅលើ
bvuk	ករណីដាច់ខាត
ry6t	រ៉ាដ្យង់
vlis	ការពិតនិម្មិត
qren	យែនឌ័រភព
gvak	ករណីវេយ្យាករណ៍
bxok	ទំពែក
mrum	កម្មវិធីកុំព្យូទ័រ
ps6t	ប្រព័ន្ធ​ប្រតិបត្តិការ
hfom	មូលសទ្ទ
tlem	អានអង្គចងចាំតែប៉ុណ្ណោះ
pwam	spyware
kfif	ស្នូលbenefactive
qwit	សនិទានភាព
nlaf	ការដំឡើង
nwok	ករណីសមាគម
dzas	មិនសប្បាយចិត្ត
swuk	ករណីខ្ពង់ខ្ពស់បំផុត
syos	សង្ខេប
kr6n	ចរន្តអគ្គិសនី
dvin	យែនឌ័រគ្មានជីវិត
pxom	អារម្មណ៍សំណើរសុំ
vris	សំឡេងចំរាស់
rwos	រស់
dr6t	distractor
ht6k	ទូរគមនាគមន៍
slaf	ប​ណ្តា​ញ​សង្គម
lyuk	ឃ្លាបន្តបន្ទាប់
qras	ថ្នាក់លើ
ty6n	teminal
gwet	ភាពតានតឹងនាពេលអនាគតឆាប់
hp6s	សំឡេងអនុវត្តបាន
tsof	សំឡេងantipassive
ht6p	ទិដ្ឋភាពcontinutive
hn6f	អារម្មណ៍necessitative
pfip	participleអកម្ម
glap	របារឧបករណ៍
sy6k	ឃ្លាសព្វ
qyat	អាំងតង់ស៊ីតេluminous
hy6t	វត្ថុវេយ្យាករណ៍
vyan	ប្រកាសសាលដីកាស្ថាពរ
sluf	ចំនួនsingulative
dvit	រយៈពេលច្រើនហួសប្រមាណ
qyak	កិរិយាស័ព្ទសកម្មភាពតែ
bzik	រូបវិទ្យា
xlet	សញ្ញាបត្រខ្ពង់ខ្ពស់បំផុត
hqap	participleបច្ចុប្បន្ន
qwat	ចំនួនទឹកប្រាក់នៃសារធាតុ
qyik	ភាគល្អិតភ្ជាប់
sr6t	សារធាតុរាវsupercritical
hfem	morphemeepenthetic
tl6t	នាពេលអនាគតពីចម្ងាយតានតឹង
mrif	មីក្រូហ្វូន
pcuk	ករណីpostpositional
tfim	សតិក្នុងការចូលចៃដន្យ
fwim	ethium
ly6t	កិច្ចព្រមព្រៀងallocutive
hvap	របាររមូរ
hfep	ទិដ្ឋភាពជាញឹកញាប់
bvan	សព្វនាមបែងចែក
fyun	ចំនួនចំណុចអណ្តែតទឹក
xyas	លុប
hvif	កិរិយាស័ព្ទaffix
xyis	participleអកម្មកន្លងមក
tl6n	អង្គភាពដំណើរការកណ្តា
tfok	ករណីទិសlocative
qwan	សំណួរ​ដែលគេ​ច្រើន​សួរ
