hnit	வினையெச்சம்
mlep	டெம்ப்ளேட்
hqit	கதிரியக்கம்
kxim	கிலோகிராம்
hxen	வாடகைக்கிருந்த
hxot	overeat
kyif	நகலி
fwet	இலவசமென்பொருள்
txet	துணைக்குழு
hs6n	வரிசைமுறையிலான்
hxet	ஒட்டுக்கேட்க
xrat	ஹேர்கட்
hqan	கைப்பற்றுகிடங்கில்
hr6t	இரிடியம்
bxat	அலைவரிசையை
dxet	டெஸ்க்டாப்
hxis	அதிவேகமான
hxok	தலைமையிட
hxek	தவறவிட்டு
srem	சீரியம்
hp6t	தனித்தனியாக,பகுதிபகுதிகளாகப்பிரிக்கஉதவுகிற
pxik	தனித்தனியாக,பகுதிபகுதிகளாகப்பிரிக்கஉதவுகிறவழக்கு
kxet	கேசட்
pruk	பல்பொருள்அங்காடி
hvit	மனஉறுதியால்
xlin	ஆஃப்லைன்
frip	குறியாக்க
hvep	கொடு
hxon	ஒருங்கிணைக்க
kxit	அதிகரிக்க
hqin	கருத்தரங்கு
tr6n	ஸ்டீரியோ
ht6n	பற்றுக்கருவியிலும்
hvat	வரவிருக்கும்
sl6s	செல்சியஸ்
hn6n	நியான்
ts6t	உண்மையானநேரம்
hvin	ஓட்டத்தில்
pxat	செய்தியிடங்களின்
myoc	தொகுதி
ps6s	பாஸ்தா
bwek	கைப்பெட்டியை
dlok	டீலக்ஸ்
fraf	ஃபயர்வால்
hr6k	குளறுபடியாகவும்
txat	மதியஉணவுநேரம்
hqon	ஆர்கனோ
pxun	புளூட்டோனியத்தை
ks6n	பணிநிலையம்
slef	படிக்கட்டு
xrit	நீச்சல்
hvut	கூட்டம்கூடு
xrim	திகழியம்
hx6t	மேம்பாடு
hqum	பயனர்பெயர்
hl6n	விற்பனைநபர்களை
gron	ஆர்கான்
pxan	விளம்பர
hvac	பாத்திரங்கழுவி
xlan	உலகமயமாக்கல்
txon	அலைநீளம்
xrik	மறுசுழற்சிக்கு
hxap	பையுடனும்
hxac	மறுதுவக்க
xyat	ஹெபடைடிஸ்
cwep	காசோலையை
hxos	துருத்தியிருத்தல்
txif	நிகழுகிறது
qlat	நிலம்,வீடுஆகியவற்றின்தரகர்
txot	மத்தியில்இலையுதிர்
hxam	மில்லிகிராம்
pxis	பிக்சல்
pwif	முன்னோட்ட
txam	டாண்டாலம்
myek	வெப்பஇயக்கவியல்
hbop	முறித்து-ல்
hqot	கரைபொருளின்
xlic	சக்கரநாற்காலியில்
gxit	இனப்படுகொலை
hvan	தீயணைப்பு
glim	காலியம்
pfop	பாப்வரை
hzum	ஸிர்கோனியம்
xlon	அவசரத்தொலைத்தொடர்புவசதியை
qlin	தொகையற்ற
kxam	காந்தியம்
blim	பெரிலியம்
kxik	கட்டமைக்க
nr6n	நியூரான்
hpef	பயனிலை
hruf	திசைவி
kxan	காரணியாலான
hxic	வழிகாட்டு
xlip	கைப்பந்து
dyek	சரிசெய்வதற்கான
hxop	கைக்கடிகாரம்
qrot	நியூட்ரான்
nwip	நியோபியம்
hs6t	கழிவறைக்கு
grem	ஜெர்மானியம்
tles	உலோகத்தோற்றவடிவமுடைய
hp6k	prolativeவழக்கு
qyin	பல்லுயிர்
txak	ஆண்டிபயாடிக்
mlun	முடக்கம்
txan	அத்தினியம்
xran	விண்வெளி
dres	அகற்றுவதற்குத்
tr6t	வேற்றுகிரக
hk6t	எட்டுத்தொகுதி
hxus	திறந்தமூல
xlat	கிறுக்கர்
mraf	மாரத்தான்
ts6n	மத்தியில்வசந்த
ht6s	மனஇறுக்கம்
nlif	அயனியாக்க
txut	புகழ்மிக்கவர்
hm6n	உமிழும்
kxis	கிளிப்கலை
xrin	அனுபவித்து
xren	திருப்பி
bxak	புக்மார்க்
pfos	சார்புசொற்றொடர்
hvis	மலம்
hd6n	வகுக்கும்
brum	போர்டுரூம்
hqis	பேரினவாத
hk6n	தொகுக்க
xyit	மாற்றம்முக்கிய
xyin	ஒருநொடி
hxun	வாழ்கின்றனர்
hvas	வேடங்களில்
glok	வலைப்பதிவு
hvak	வளைந்துநெளிந்து
pxit	IPமுகவரி
hvet	அடுத்தமுதல்
xram	செந்தூரகம்
hc6n	தெளிவுறுத்தல்
qran	குரானை
zyen	செனான்
hqas	சத்தியம்-இல்
bzas	சிற்றின்பத்தில்சலித்துபோன
hj6n	அல்லாதமனித
hnof	noncommittal
txas	தயாரிப்பாளர்கள்
hbum	புத்த
ts6s	சண்டையிட
pxin	பொருட்கள்
hr6n	ரேஷன்
hxim	மத்தியில்கோடை
dxit	மத்தியில்குளிர்காலத்தில்
hxaf	தோண்டு
nlus	வீட்டில்ஆலை
txap	நிலைபட்டியில்
vrit	கோஸ்ட்ரைட்டர்
kxak	முட்டாளாக்கசுற்றி
bxin	மனிதஉடல்
hqik	ரெயின்கோட்
hxes	ஹெர்ட்ஸ்
hxif	ஹிப்னாடிசம்
xras	மணிநேர
pl6k	சட்டதுணை
dxat	துடுக்குத்தனம்
hxip	ஆன்டிபாடி
vrat	குறும்படங்கள்
hqek	மாற்றியமைத்தல்
qrit	முனைவுத்தன்மையுடன்
pxot	தபால்நிலயம்
hxom	குப்பைமெயில்
hqic	விமர்சகர்
lwun	நீல-Jean
hp6n	முதிர்வு
dxan	இணைக்கிறேன்
xrak	நடிகர்பங்கு
dxak	விபத்து
hven	கொள்கலன்கள்
mwap	காமிக்துண்டு
qlan	நிறக்குருடு
xros	உடைகளை
srom	ஷோரூம்
hc6t	நேரில்
qrat	தலைகீழாக
hn6t	தடைபடுதல்
hqet	வலைத்தளத்தில்
fres	நிதி
froc	ராஜ்காட்
xlak	ஹைப்பர்லிங்க்
vlat	volubility
dvan	இறங்கியதை
gxin	கைப்பற்றல்
ryes	வரவேற்பாளர்
kxot	இணைப்பிகள்
xyan	எல்லை
vlan	விளம்பரதாரர்
ryom	தோரியம்அணுவின்
hluf	முதுமை
hquk	புகுத்த
lyum	தூலியம்அணுவின்
tyem	டெர்பியம்அணுவின்
hp6m	பிரசியோடைமியம்
txic	வீட்டில்பக்கம்
mros	ஓட்டிய
dyam	ரோடியம்அணுவின்
pc6n	விசாரணைஎண்
nyos	இன்பாக்ஸ்
pyek	ப்ரொஜெக்டர்
kxon	கிரிப்டான்
hxuc	மீட்டு
qrik	மையப்படுத்தியவழக்கு
xwin	அனுபவமின்மை
kxic	அணைப்பான்
hvot	பாய்வுப்படம்
dxot	தயிர்
hqut	பதிவுவெளியே
pxen	துறை
drok	இலக்குதூண்டுதல்
flon	மொபைல்போன்
txos	நடுத்தரகுரல்
hqok	சாய்ந்தவழக்கு
xwik	நோயாளிவழக்கு
hx6n	முன்hodiernal
txik	ஆள்காட்டிவிரல்
hqen	அனுப்புநர்
mlap	தீம்பொருள்
hvun	இணங்கவைத்தல்
hvon	அணிய-அவுட்
vran	தபால்எடுத்துவருபவர்
pfes	பேராசிரியர்
pwip	கவிஞர்
hqam	வேலைஅவுட்
gxat	சட்டபூர்வத்தன்மை
ks6t	நோய்க்காரணி
vrin	ஆட்சேர்ப்பாளரை
kxip	கிளிப்குழு
sr6n	ஏற்கமறுக்கும்
vlit	மதிப்பிடும்
tyup	புறநகர்
mrom	கட்டுருபன்
xron	தலையணி
gxak	விலையுயர்ந்த
hrof	ட்ரோஜன்குதிரை
xlas	முடங்கி
dzet	redecorate
txac	சரணடையும்
xrot	பயன்படுத்தப்படாத
txis	டாட்அணி
syif	Siஅலகுகள்
xrac	வியக்கத்தக்க
brif	பைனரிமதிப்பு
dlos	மாதிரிவழக்கு
txun	பண்புகளை
dvat	கெட்டமனமுடைய
psom	முதல்கை
gjek	வேறுஎன்றால்,
nlem	அலகு-ன்-வெகுஜன
qret	சில்லறைகடை
txip	மூன்றுபுள்ளி
dlek	தனித்தனியாக
lwut	ஓட்டம்தற்போதைய
dxis	வியத்தகு
hs6m	சீசியம்
vlak	railcar
hn6m	nerium
kxap	அட்டை
bxan	புறப்படுகிறது
myem	மேமாதம்
gxik	சமூகஉரிமைகள்
hxoc	விமானப்படை
xrok	வேலைபார்ப்பவர்கள்
kr6t	திரை
txok	தானாக
hxep	மயக்கும்
srop	ஸ்மார்ட்போன்
pxak	தொப்பிகள்பூட்ட
hk6k	நாட்டுப்புறஇசை
hl6k	euler's-எண்
pyom	பொலோனியம்அணுவின்
xyam	தெள்ளீயம்அணுவின்
hvic	படையெடுப்பவரகளை
lyok	தேடுகவழக்கு
xlot	மனை
txen	உரையாகும்
kxac	எதிர்தாக்குதல்
qrak	வேலைநிறுத்தத்தை
hbup	நீச்சல்குளம்
txuk	குறைந்தமின்னழுத்தம்
tsef	குறுகலான
bxit	வலைதொகுப்பாளர்
ksem	படிக்கமட்டுமே
byim	ரூபிடியம்அணுவின்
hvam	வனேடியம்அணுவின்
lw6n	லாந்த்தன்ம்
frum	புளோரின்அணுவின்
nyom	இரட்டியம்
mlom	multalஎண்
kxas	தனிப்பயனாக்க
xret	டெராபைட்
hs6k	தேடல்இயந்திரம்
frus	சீழ்பிடிக்கச்
gxan	விண்மீன்பாலினம்
vlas	குரல்
glet	எரிவாயுமிதி
hvim	இயக்கநேர
bxip	பிட்மேப்
qrin	நட்சத்திரபாலினம்
bvak	ஜப்பானிவழக்கு
pxon	கிடைக்கவில்லை
dvik	adessiveவழக்கு
dvek	எழுவாய்வழக்கு
hlef	முகவர்தூண்டுதல்
kwek	செய்யவழக்கு
kxen	பொதுவானபாலினம்
ht6m	சான்றுவடிவம்
tsuf	டிரான்ஸ்எண்
hf6n	குகையும்
tc6t	நேரடிபொருள்
gvik	ergativeவழக்கு
gxon	துண்டாக்கும்
ksep	ஏற்பி
vyin	திரையரங்கம்
pyos	செயலற்றகுரல்
hnef	வரையறுக்கப்பட்டவினை
xwit	முதன்மைபொருள்
hqim	gnomicமனநிலை
jlak	பொதுமைப்படுத்தும்
vrik	இறுதிதுகள்
qyan	கற்பனைஅலகு
kxaf	வேகம்-வெளிச்சத்தில்-
xyic	ஃபிஷிங்
qyit	முக்கியமானபுள்ளி
hvek	evitativeவழக்கு
bvik	subessiveவழக்கு
hzes	கொண்டிருந்தனவழக்கு
prus	கணினிவைரஸ்
ples	செயலி
pxif	காவல்அதிகாரி
dvak	lativeவழக்கு
brun	சுற்றுப்பயண
tsi_k	antessiveவழக்கு
tyum	ருத்தேனியம்அணுவின்
vyak	வினைதழுவியவழக்கு
pxim	பிரதமர்
syum	ஸ்டுரோன்அணுவின்
sy6n	suspiciousness
hy6n	உயிருள்ளபாலினம்
pxac	அதேமாதிரிமகிழ்ச்சி
vlin	வாகனபாலினம்
qwin	கனிமபாலினம்
hr6s	குறிப்பு
tf6n	டோனர்
xris	பயனர்இடைமுகம்
hw6n	பதவியேற்பு
xlen	வாய்மொழிபெயர்ச்சொல்
pyec	விரிதாள்
vlim	மெய்நிகர்நினைவக
bres	வார்த்தைசெயலி
hqip	மேகம்கம்ப்யூட்டிங்
vlic	மெய்நிகர்இயந்திரம்
pfam	வேண்டாதவர்கள்
dyap	இரண்டாவதுமொழி
txek	வானளாவியரூட்
dxen	தகவல்கள்சுரங்க
byip	வணிகநபர்
hs6c	சுயநம்பிக்கை
txim	குறிப்பிடும்
hb6t	மாற்றம்என்றநிகழ்வு
hdem	டொமைன்பெயர்
dxon	வெவ்வேறுநிகழ்வு
lwaf	ஃபிளாஷ்இயக்கி
sl6t	கிரஸ்டினல்பதட்டமான
xyik	நெகிழ்வட்டு
fyif	பின்விளைவுள்ளதுமானகுரல்
bvin	பிரபஞ்சம்பாலினம்
hm6p	மதர்போர்டு
tfip	டிரான்சிடிவ்வினை
jlen	வட்டாரத்தின்பாலினம்
xrap	கோடிட்ட
tc6n	ஆராய்ச்சிபாலினம்
sl6n	கலைபாலினம்
xrek	நோயாளிதூண்டுதல்
xwan	சுருக்கம்பாலினம்
dxif	வீடியோமாநாடு
dyip	மறைமுகபேச்சு
zrek	புறமையமானவழக்கு
hvuk	இக்குறிப்பு
xwat	கடந்தகுறைவின்மை
hr6m	ரினியம்
txaf	தூண்டப்படலாம்
hmef	சார்பற்றதன்மைவினை
tx6t	உரைஆசிரியர்
txes	கூட்டுபெயர்ச்சொல்
bvat	தவறாகநடத்தும்
bvuk	absolutiveவழக்கு
ry6t	ரேடியன்
vlis	மெய்நிகர்உண்மையில்
qren	கிரகபாலினம்
gvak	இலக்கணவழக்கு
bxok	வழுக்கை
mrum	கணினிதிட்டம்
ps6t	இயக்கஅமைப்பு
hfom	ஒலியன்
tlem	படிக்கமட்டுமேநினைவக
pwam	ஸ்பைவேர்
kfif	கோர்benefactive
qwit	பகுத்தறியும்தன்மை
nlaf	நிறுவும்
nwok	துணைவழக்கு
dzas	அதிருப்தியடைச்செய்
swuk	உயர்ந்தவழக்கு
syos	சுருக்குதல்
kr6n	மின்சாரதற்போதைய
dvin	உயிரற்றபாலினம்
pxom	propositiveமனநிலை
vris	தலைகீழ்குரல்
rwos	ஏரோசால்
dr6t	distractor
ht6k	தொலைத்தொடர்பு
slaf	சமூகநெட்வொர்க்கிங்
lyuk	அடுத்தடுத்தஉட்கூறு
qras	மேலதிகாரிகள்
ty6n	முனையத்தில்
gwet	விரைவில்எதிர்காலபதட்டமான
hp6s	applicativeகுரல்
tsof	antipassiveகுரல்
ht6p	continuativeஅம்சம்
hn6f	necessitativeமனநிலை
pfip	செயலற்றபெயரெச்சம்
glap	டூல்பார்
sy6k	இருத்தலியல்உட்கூறு
qyat	ஒளிரும்தீவிரம்
hy6t	இலக்கண-பொருள்
vyan	உச்சரித்து
sluf	singulativeஎண்
dvit	அதிகப்படியானகாலம்
qyak	ஒற்றைநடவடிக்கைவினை
bzik	இயற்பியல்
xlet	உயர்ந்தபட்டம்
hqap	தற்போதையபெயரெச்சம்
qwat	அளவுஎன்றபொருள்
qyik	இணைப்புதுகள்
sr6t	உய்யதிரவ
hfem	epentheticகட்டுருபன்
tl6t	தொலைஎதிர்காலபதட்டமான
mrif	ஒலிவாங்கி
pcuk	postpositionalவழக்கு
tfim	சீரற்றஅணுகல்நினைவக
fwim	ethidium
ly6t	allocutionஒப்பந்தம்
hvap	சுருள்பட்டியில்
hfep	frequentativeஅம்சம்
bvan	பங்கீட்டுசுட்டுப்பெயர்
fyun	மிதவைபுள்ளிஎண்
xyas	அழித்தலை
hvif	வினைபின்னொட்டு
xyis	கடந்தசெயலற்றபெயரெச்சம்
tl6n	மத்தியசெயலாக்கஅலகு
tfok	தேடுகதிசைவழக்கு
qwan	அடிக்கடிகேட்டார்கேள்விகள்
